comp0-change,comp0-mean-given-stayed,d1,d2,desc,desc1,mean-y,stdprice2006,yishuv-name
-3.0510594811730662,12.969423197170372,0.8659914732154841,0.307853796576012, תל אביב -יפו -555, תל אביב -יפו -5,32.06641490540539,1.7037347905334974,o תל אביב -יפו o
-1.2449130389951222,8.949432091343304,0.2777937686676505,0.12742572535594487, תל אביב -יפו -747, תל אביב -יפו -7,32.03226202611463,-0.8377833215357445,o תל אביב -יפו o
-0.25635994973334064,11.762894923275475,0.08877628916456523,0.00595867202360062, ירושלים -411, ירושלים -4,31.808820067241374,0.221089625989374,o ירושלים o
-3.188153610572586,13.09825052745995,0.07124194976007589,0.09753802296301042, ירושלים -123, ירושלים -1,31.830559260763867,-0.10398827206599415,o ירושלים o
-0.5734919401660825,16.942737404317867,-0.1562273102941163,-0.12143756957016127, ירושלים -1147, ירושלים -1,31.751388073949588,1.2513021893634704,o ירושלים o
-2.4703637585044707,10.294117512470882,0.7219751458697794,-0.10914293593712529, ירושלים -1211, ירושלים -1,31.753162638815787,-0.4864984574278853,o ירושלים o
-5.076719339922175,14.73459696957868,0.36268520638412904,-0.4799611607170984, ירושלים -923, ירושלים -9,31.79058119076925,1.0265913953389192,o ירושלים o
-0.7707781430057761,10.870433678650375,0.4083649598731761,-0.045207935127768106, תל אביב -יפו -746, תל אביב -יפו -7,32.034759145205484,-0.8132491405504337,o תל אביב -יפו o
-1.9712657652721095,15.230117872128739,0.05837275727976106,0.08820883811626759, ירושלים -122, ירושלים -1,31.833184322147655,-0.17892904307567079,o ירושלים o
-2.4066613608993572,6.889948437820224,-0.05401301806516434,-0.11596523400395375, ירושלים -826, ירושלים -8,31.79090899999999,0.9875597437713792,o ירושלים o
-3.9574587329248567,11.525755002399334,-0.3923336618742621,0.32736845878120513, ירושלים -922, ירושלים -9,31.790072370833347,1.3134182748580983,o ירושלים o
-1.3963182802740928,10.444082843825186,0.7983678364216684,-0.2582357812446192, תל אביב -יפו -521, תל אביב -יפו -5,32.072100458252415,1.8119082248778222,o תל אביב -יפו o
-2.8402178885576053,12.066150324733034,0.14979964466553963,0.08663127007934049, תל אביב -יפו -745, תל אביב -יפו -7,32.04057998437499,-0.4436751597080701,o תל אביב -יפו o
-0.6751798155321627,14.392805170686664,-0.3798148629704161,0.42149669899894304, תל אביב -יפו -425, תל אביב -יפו -4,32.085801367647065,2.2894326020555535,o תל אביב -יפו o
-0.21194568375010192,13.516749977152152,0.2403209817260577,-0.15421850500548623, ירושלים -121, ירושלים -1,31.835188705734744,-0.12841093404682627,o ירושלים o
1.2534736353175244,14.463612550041523,-0.13113518241701438,-0.28327708270586527, תל אביב -יפו -233, תל אביב -יפו -2,32.112020029850754,1.960228500834474,o תל אביב -יפו o
-3.5642998040729275,11.34978927488475,0.4851009910045003,0.10138894339901139, ירושלים -857, ירושלים -8,31.780387104166664,1.4267215834084426,o ירושלים o
-1.000105044063476,13.148188054551193,0.16481627449457326,0.02390239952980827, תל אביב -יפו -937, תל אביב -יפו -9,32.04497941597225,-0.27751184303482873,o תל אביב -יפו o
-2.7695261251837477,8.952562103183581,-0.15918644432720752,0.0450949238856827, ירושלים -921, ירושלים -9,31.792593017543833,0.9220980881423909,o ירושלים o
-2.5794701357151535,13.104092319826345,-0.40011854259487434,0.31400685386293636, ירושלים -1016, ירושלים -1,31.788635387628872,1.5566412236261111,o ירושלים o
-1.2675355657576688,10.709903090288343,-0.2942734536489581,0.217599129709661, תל אביב -יפו -744, תל אביב -יפו -7,32.03981444078948,-0.2624567774302062,o תל אביב -יפו o
1.0869227401698236,12.489362365227157,0.3443121200785999,-0.06768630807903708, תל אביב -יפו -424, תל אביב -יפו -4,32.08435067016574,1.8218334162764251,o תל אביב -יפו o
-2.3795769810503877,16.810003168991162,-0.44731280927795725,0.11388405963937243, ירושלים -1144, ירושלים -1,31.752654924295737,1.3349414427224844,o ירושלים o
0.6882370698790616,16.817532794758424,0.2417837876104052,-0.20360807562637406, תל אביב -יפו -232, תל אביב -יפו -2,32.11165910740741,1.286876751792171,o תל אביב -יפו o
-0.8303839423908386,6.357294564978128,-1.1576510252598489,0.08231985638771733, ירושלים -824, ירושלים -8,31.78902065833335,1.4469065232190848,o ירושלים o
-0.44444431854262767,9.015046215829678,-1.392099982454982,1.5913627865498698, תל אביב -יפו -936, תל אביב -יפו -9,32.04356348075089,1.424156646305433,o תל אביב -יפו o
-2.5243238413012588,11.849134372742501,0.27900955044495074,0.1126111116693125, ירושלים -1631, ירושלים -1,31.733863912875556,-0.2701515887392355,o ירושלים o
-2.1051668225108635,15.069303295222754,0.010456888008928855,-0.10626084567302785, ירושלים -1311, ירושלים -1,31.76344612450332,1.9724955913271294,o ירושלים o
-4.00329699160887,17.33643218687947,-0.4829332164416613,-0.14509565425223492, ירושלים -1343, ירושלים -1,31.74646667739131,1.6214337652282274,o ירושלים o
0.5910293802967725,11.998225827357563,0.2611387559000402,-0.21344835940007556, תל אביב -יפו -431, תל אביב -יפו -4,32.083022607142865,2.251070064514886,o תל אביב -יפו o
-0.5299345409057565,11.67695156230413,0.1548935991362493,0.18987688640586614, ירושלים -1215, ירושלים -1,31.75685219432623,0.15027505814540873,o ירושלים o
-2.2465419778310203,15.690299120252304,0.5732138750915674,-0.22415914850622842, תל אביב -יפו -911, תל אביב -יפו -9,32.076744770256404,0.9650329048666848,o תל אביב -יפו o
-6.994662897529283,15.072767443475483,-0.46873859278281316,-0.20971125116840783, ירושלים -863, ירושלים -8,31.772561947761183,2.769187359322858,o ירושלים o
